,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Yearly_uni2ts,3742026.193020266,896.5302055814716,0.14851366029446286,3.3705906565599677,0.14374070150347917,0.31014747181501445,3635.85852766037
chronos_m4_Yearly_uni2ts,3958447.548057971,978.8458872282608,0.1694787783968276,3.70170422416241,0.156938375994516,0.3189901560888992,628.5475475788116
moirai_m4_Yearly_uni2ts,6092823.933217391,1189.422714673913,0.2108396943686665,4.720644431827302,0.19070016194324885,0.3957529382535201,1834.3573143482208
timesfm_m4_Quarterly_uni2ts,2129000.7449990003,627.5537521635295,0.11395181026256836,1.4006271845078488,0.1050414469749746,0.24422924773822247,3831.1826400756836
chronos_m4_Quarterly_uni2ts,2083754.2936666666,623.3934641927083,0.11566578396161398,1.3354978357888025,0.10434508803077097,0.2416200772979494,1103.4318358898163
moirai_m4_Quarterly_uni2ts,3341374.5086666667,717.2871731770833,0.1328894129594167,1.5999625944497098,0.12006124145916425,0.3059654178885118,1896.7305493354797
timesfm_m4_Monthly_uni2ts,2028583.5612485134,580.2596376930629,0.13694678384914435,0.9569433579215747,0.12059787246477913,0.2960150108921771,7472.2265655994415
chronos_m4_Monthly_uni2ts,2120032.5547175924,601.3335837673611,0.14091515654104728,1.0257563636096434,0.12497776190720523,0.3026136742656585,4899.118737220764
moirai_m4_Monthly_uni2ts,3653752.165212963,654.3182004484954,0.15244998065630594,1.1907499695726234,0.13598978416419122,0.3972709661772045,3696.0813155174255
timesfm_m4_Weekly_uni2ts,297166.25042102404,285.7945821781293,0.06935729863292142,0.4797470312836209,0.05206733873595351,0.09931415029373583,65.53984951972961
chronos_m4_Weekly_uni2ts,400745.5924576816,301.3145489607885,0.07209914824373594,0.49888349714790353,0.054894835889625244,0.11533092261361286,43.55480098724365
moirai_m4_Weekly_uni2ts,626937.0336404543,404.2348671523463,0.10668579127718555,0.685916498041747,0.07364532104316096,0.14425250093851125,28.38501501083374
timesfm_m4_Daily_uni2ts,361764.38218717964,173.33254745631916,0.02977221982745427,1.1429595727333086,0.026775088177895676,0.09291026372127406,739.7855002880096
chronos_m4_Daily_uni2ts,1037418.110378857,202.9549304640238,0.031816795181779274,1.2279434418504478,0.031350927676652054,0.15733585427722152,642.7800540924072
moirai_m4_Daily_uni2ts,733658.8664706479,226.67104540538713,0.03901514155644983,1.4557919950383138,0.0350144119911149,0.13231158595228543,395.79897904396057
timesfm_m4_Hourly_uni2ts,554651.6406990364,196.0942936963409,0.09333957936300084,0.7676324375351665,0.026771200952283327,0.1016747349736424,92.11003994941711
chronos_m4_Hourly_uni2ts,2142440.9420289854,262.8060005912842,0.08770191112770166,0.8387634392464537,0.03587882197219921,0.1998284536253832,114.82571697235107
moirai_m4_Hourly_uni2ts,2204414.134007649,320.41399252088365,0.13183918705692999,2.037960411588871,0.043743584884642896,0.20269801303403923,41.510316371917725
